SPI device is initialized
Reset Pin is set to always high
54528
47232
52736
51072
56576
57088
53632
48640
50816
47744
49152
56448
57856
54400
53632
46592
51200
57856
53120
49536
41728
45824
51968
56064
51328
46592
50304
48640
50816
51456
47232
50432
46720
51584
57344
53504
53760
55424
45824
46336
48384
49024
54272
52992
53632
56960
53376
50816
49792
48128
50304
49536
47744
57600
48512
55168
52352
55424
52608
52480
56064
49152
45440
55168
53888
53248
55040
57856
54784
55296
52224
45696
51328
57728
56576
47872
51840
54528
54656
42496
50304
57728
55296
48512
46720
48000
45696
50432
49536
46080
44160
53888
49664
46464
51072
46208
44032
46976
50560
51840
48256
45312
47744
45312
51328
59520
53248
54784
60800
45056
52480
45568
48896
51840
49920
57472
49664
56576
40960
47360
59648
50688
58240
55296
46592
48768
49024
44928
52608
55296
49920
50048
53120
56832
48000
53504
48512
52864
44672
44928
53504
47616
65792
54400
51072
47872
45568
50432
51328
58496
50560
51072
54272
59392
50816
45824
56064
47744
56192
52352
50560
54400
54784
55040
52992
57088
53120
50432
45952
55040
47744
52864
54272
56448
50560
56960
48384
56704
49152
56960
45184
57344
48256
44928
56064
51968
49536
50176
45824
45312
51456
46848
47744
51840
56192
50688
49152
58112
51072
51200
52864
48768
41856
50688
59392
50688
55296
61568
53376
57984
51968
46592
57728
49920
54272
50816
54272
59008
51840
51456
46720
53376
51968
47104
44288
56832
49408
52608
57088
52096
49792
46976
54528
50816
47616
59008
50176
55936
54528
50944
53248
51712
55552
51328
55808
52352
51712
51456
50176
47232
54400
47488
55040
50816
51584
51072
48384
53376
48512
55552
54912
50432
50176
45184
47104
52224
44416
48512
45056
55808
51968
57856
43520
51456
44160
43904
53632
50560
46592
53888
49024
52352
55040
46848
54272
53248
56192
49792
52224
57856
57600
53376
49024
52608
45184
52992
49280
48896
49280
55296
51712
50304
50560
46976
51712
52864
46848
54144
48896
50432
51200
50432
54784
55424
52608
52352
49152
49280
57600
53120
52608
62080
51200
51712
50944
45952
50816
51456
55424
48000
49024
45312
56832
47872
49664
47232
51968
51200
55936
52736
53504
56320
48000
54272
54656
58112
55424
52480
60928
56448
52864
52864
52224
45568
63488
55040
48896
45440
59904
49792
48768
51968
55296
51200
47872
53632
49152
50048
56704
46848
52480
51072
55296
45824
56576
58880
49024
53632
47744
43904
52864
60928
51584
51584
52992
54400
49408
50176
54272
61184
57472
51840
51968
54272
49792
49536
58496
56192
48000
47104
58112
52352
55040
49920
57216
43392
47872
56704
50816
57344
59392
47744
61056
54528
52864
50560
57728
57088
50176
54016
46976
45312
54144
59264
43520
53888
57600
51200
49536
54016
56320
53760
59008
47872
48640
36480
53888
55040
43904
57344
47872
50816
45952
49536
49024
49536
50560
52352
46080
44160
50688
56448
48256
45952
42624
50816
50048
56832
43520
55296
51200
48640
54784
48256
49280
48768
43648
57216
52864
54912
49280
